titulo,idioma,subtitulos,ano,duracion_minutos,categorias,sinopsis,tipo,link
Turning Tide,English,None,2021,1 min,Short,"Amidst the sands of time, a battle between a world-weary Centurion and his rebellious son threatens to fade the ideals of their generation.",Pelicula,https://filmzie.com/content/turning-tide-2021
Curse of the Crimson Altar,English,English,1968,86 min,"Horror, European Production","Robert Manning investigates his brother's disappearance at a remote country house. Welcoming on the surface, he senses menace and the haunting legend of the Black Witch of Greymarsh, Lavinia Morley.",Pelicula,https://filmzie.com/content/curse-of-the-crimson-altar-1968
Team One,English,English,2007,83 min,"Action, Adventure, Sci-Fi","When aliens invite Earth to join the Galactic Federation, a team of fighters must represent the planet in an unarmed combat tournament. Earth's fate hangs in the balance.",Pelicula,https://filmzie.com/content/team-one-2007
Path of the Daff,English,English,2019,82 min,Documentary,"A city faced with unimaginable tragedy rallies around a most unlikely hero. A timeless story about healing & finding purpose in life after the devastating bombings at the 2013 Boston Marathon, told by the people who experienced it. Feel good about life.",Pelicula,https://filmzie.com/content/path-of-the-daff-2019
Snowball's Christmas Tails by the Fire,English,English,2016,61 min,Family,Snowball the Christmas Puppy and his furry friend narrate classic holiday tales by a crackling fire. Snowball's Christmas Tails By The Fire is sure to entertain the whole family and create beautiful holiday memories for years to come.,Pelicula,https://filmzie.com/content/snowballs-christmas-tails-by-the-fire-2016
Maria Montez,Spanish,"English, Spanish",2014,99 min,Drama,"She was known as “The Queen of Technicolor” in Hollywood and Europe, but the more famous she got, the more empty she felt. A starlet who couldn’t find love or happiness until it was too late. This is the story of the most famous Dominican actress ever.",Pelicula,https://filmzie.com/content/maria-montez-2014
Demon,English,English,2017,69 min,Horror,"In a terrifying anthology, humanity faces the embodiment of evil threatening Earth. Can we defend against the unknown, or succumb to darkness?",Pelicula,https://filmzie.com/content/demon-2017
Missing Mom,English,English,2016,84 min,"Documentary, Adventure, Biography",Filmmaker Rob McCallum hits the road with his brother Chris Byford in search of their Mom who's been missing for almost 25 years.,Pelicula,https://filmzie.com/content/missing-mom-2016
The Misguided,English,None,2018,88 min,"Comedy, Drama","After planning to leave the city with his girlfriend, a young man must first betray her in order to save his brother from a deadly situation.",Pelicula,https://filmzie.com/content/the-misguided-2018
Gospel According to Al Green,English,English,1984,95 min,"Documentary, Music","The story of R&B singer Al Green, who gave up a successful singing career to become a gospel minister.",Pelicula,https://filmzie.com/content/gospel-according-to-al-green-1984
A Medicine for the Mind,English,None,2019,14 min,"Comedy, Drama, Fantasy, Sci-Fi, Short","An experimental Alzheimer's drug grants Sandra Carter, 65, newfound abilities, offering a fresh lease on life and unexpected opportunities.",Pelicula,https://filmzie.com/content/a-medicine-for-the-mind
Flash,Non linguistic content,None,2015,7 min,"Drama, Short, Fantasy, European Production","In a photo booth, a man is astonished by the unexpected when he examines the printed strip. Prepare for a surprising twist in this captivating tale.",Pelicula,https://filmzie.com/content/flash
Impossible to Imagine,Japanese,English,2019,88 min,"Drama, Romance","A traditional Kyoto woman and a biracial entrepreneur unite to save her failing kimono business. Love blossoms, but their opposing views on change threaten their relationship.",Pelicula,https://filmzie.com/content/impossible-to-imagine
The Alliance,English,None,2020,115 min,"Action, Crime","4 drug dealers call a truce and form an Alliance,but after 20 years of peace one member is forced to kill the others.",Pelicula,https://filmzie.com/content/the-alliance-2020
Alter Egos,English,None,2004,52 min,"Biography, Documentary","Delve into the life and artistic journey of Ryan Larkin, alongside the creation of Chris Landreth's acclaimed short film Ryan (2004).",Pelicula,https://filmzie.com/content/alter-egos
Exit,English,English,2020,80 min,"Horror, Crime, Thriller","Events take a sinister turn one night in London, when two very different couples arrive at a double-booked apartment. Actions have consequences and not all debts are paid for with money. Leaving, it's harder than you think.",Pelicula,https://filmzie.com/content/exit-2020
Octopus Pot,English,English,2022,87 min,Drama,"A broken man finds the one thing he can't live without only to lose it. He can't bring back the woman he loves, but he can cover the ground with the blood of his enemy.",Pelicula,https://filmzie.com/content/octopus-pot-2022
Finding Callaro,English,English,2017,79 min,Animation,"The once beautiful Planet Kepler is now dry and near destruction after its precocious Callaro plant was exploited to extinction. Three brave space kids - Axel, Jono and Gaga - embark on a daring mission to rebuild their desolate planet.",Pelicula,https://filmzie.com/content/finding-callaro-2017
Streetkids United II: The Girls From Rio,English,None,2015,77 min,"Documentary, Sport, European Production","Football rescues from street hell, revealing homeless children's plight in Street Child World Cup '14. Indifference perpetuates neglect. Streetkids United II - The Girls From Rio amplifies their voices. More action needed.",Pelicula,https://filmzie.com/content/streetkids-united-ii-the-girls-from-rio-2015
The Whisker Seeker,English,None,2017,70 min,Documentary,"Embark on a global journey with Captain Brochin, a seasoned angler, as he challenges the formidable whisker fish. Witness thrilling battles against catfish species in this ultimate fishing adventure.",Pelicula,https://filmzie.com/content/the-whisker-seeker
The Killing of Jacob Marr,English,English,2010,110 min,Horror,"After a haunting past, a disturbed man returns to find his childhood home occupied by vacationers. His sinister intentions unravel in this chilling tale.",Pelicula,https://filmzie.com/content/the-killing-of-jacob-marr-2010
Yes or No?,Spanish,English (embedded),2019,27 min,"Drama, Short","The day after the plebiscite vote for the peace agreements in Colombia, Lina, Pedro and Alejandra are dealing with a strong hangover. Friendship, secrets, repressed conflicts and passion are the ingredients of this story of which each one has their own version. How much do we lie or adorn the truth? To what extent is the perception of one similar to that of the other? What implications does saying yes or saying no have in life? Passion has many forms, this trio of friends will explore several of them.",Pelicula,https://filmzie.com/content/yes-or-no-2019
Ombis: Alien Invasion,English,"German, English, Japanese",2013,85 min,"Action, Horror, Sci-Fi","Alien virus crash-lands, wreaking havoc. A covert government agency conceals the disaster. Thrilling sci-fi outbreak.",Pelicula,https://filmzie.com/content/ombis-alien-invasion-2013
Fairyland Tales,English,English,2018,98 min,Animation,"Join Macaroon The Raccoon, Philip The Fox, and Barney the Bear as they embark on a magical adventure at Galdorf, the enchanted tree of captivating fairy tales.",Pelicula,https://filmzie.com/content/fairyland-tales-2018
Is That You?,Spanish,"German, English, Spanish, French, Italian, Polish, Portuguese, Russian, Slovenian",2018,106 min,Horror,"When her father goes missing, 13 year old Lili uses a spiritual ritual to find him but she gets it wrong and her life turns into a nightmare.",Pelicula,https://filmzie.com/content/is-that-you-2018
Harmony: Alopecia Stories,English,None,2019,54 min,Documentary,"A bald hair stylist (Jamie Elmore) with the hair loss condition Alopecia, chronicles her trials and tribulations with the disease, but also her journey to empower fellow bald women and men of all ages through her Seattle Washington based 'Alopecia Support Group'.",Pelicula,https://filmzie.com/content/harmony-alopecia-stories-2019
The Devil Told Me What to Do,Spanish,English,2019,82 min,Horror,A young man with severe mental problems kidnaps a doctor who specializes in the sale of medical insurance so that the doctor confesses what the coven considers to be his unforgivable sins.,Pelicula,https://filmzie.com/content/the-devil-told-me-what-to-do-2019
Colonies Under the Sea,English,English,2019,45 min,Documentary,"Four unique divers explore shipwrecks in the heart of the Bahamas archipelago in order to discover the unexpected life they harbor. Punctuated by dives and scenes of life, the film reveals the secrets of the colonization of forgotten ships and how this metal debris transformed into an oasis of life.",Pelicula,https://filmzie.com/content/colonies-under-the-sea-2019
The Handover,Chinese,English,2020,31 min,"Short, Comedy","Amidst moving apartments, a couple races against time to organize everything before the landlord's crucial final inspection. Chaos ensues.",Pelicula,https://filmzie.com/content/the-handover-2020
Arc,English,None,2016,94 min,"Drama, Romance",Lines are crossed and friendships tested when friends Ben and Naomi grow closer together amid a failed relationship and a broken marriage.,Pelicula,https://filmzie.com/content/arc-2016
Eve,English,English (embedded),2021,13 min,"Short, Comedy, Drama","A young newly married woman faces anxiety, panic and stress at her wedding reception as she finally acknowledges her repressed attraction to women, turning her world upside down.",Pelicula,https://filmzie.com/content/eve-2021
Chi,English,None,2013,59 min,Documentary,"Witness the remarkable journey of actress Babz Chula as she battles cancer in India. A poignant documentary capturing her strength, treatments, and confronting mortality with unwavering spirit.",Pelicula,https://filmzie.com/content/chi
In3dragon: The Unseen Fist,Spanish,"English, Spanish",2022,116 min,"Action, Adventure","A million years ago, one of the dragons fell in love with a woman, which had been forbidden. Now the battle for the ultimate warrior's heart is at stake!",Pelicula,https://filmzie.com/content/in3dragon-the-unseen-fist-2022
Some Will Forget,English,English,2016,15 min,"Documentary, European Production","Amidst austerity, a village battles to preserve its past and confront the future, while the central mine approaches its long-awaited closure.",Pelicula,https://filmzie.com/content/some-will-forget
Farmer of the Year,English,None,2018,103 min,"Comedy, Drama","When Hap Anderson, a widowed 82 year old Minnesota farmer who thinks he's still quite the ladies' man sells his family farm he finds himself adrift and staring a short future in the face. Motivated by the possibility of showing up with an old flame and impressing his old army buddies, he sets out to attend his 65th WWII reunion in California with his unemployed and unreasonably self-confident and entitled granddaughter. Together, each with their own issues and conflicting agendas, they head west in a dilapidated Winnebago. Encountering oddball tourist attractions and eccentric characters, they find themselves in seemingly impossible situations with only each other for support. From finding a place that will cash a Travelers Cheque to enjoying a cup of instant coffee, as the journey progresses so does their relationship and they begin to understand and appreciate each other as individuals while discovering that their issues are ageless and that family really matters. With typical understated Midwestern humor and restraint, 'Farmer of the Year' delicately blends the comedy and drama of life.",Pelicula,https://filmzie.com/content/farmer-of-the-year-2018
Beavers: Patagonia Invaders,Spanish,English,2015,86 min,"Documentary, Animation, History",Explore the damning legacy of forced species introduction in Patagonia. Uncover the ecological consequences in this insightful profile.,Pelicula,https://filmzie.com/content/beavers-patagonia-invaders-2015
"Where are you going, Habibi?",German,English,2015,75 min,"Comedy, Drama, Romance","Ibrahim falls in love with Alexander, a blond, blue eyed German criminal and show wrestler who is straight - an impossible friendship that surpasses the both of them.",Pelicula,https://filmzie.com/content/where-are-you-going-habibi-2015-0
Bros,English,English,2017,82 min,Comedy,"Tanner and Matt navigate life choices and romance in their hometown. A nostalgic, dialogue-driven comedy reminiscent of Clerks and American Graffiti.",Pelicula,https://filmzie.com/content/bros
Bee Team 2,English,English,2019,74 min,Animation,"Join Zip, Zap, Queen Eleanor, and Sabastian in the forest adventure of a lifetime! Witness the Bee Team's remarkable bond as they face challenges together.",Pelicula,https://filmzie.com/content/bee-team-2-2019
Alex & Jaime,English,English,2017,90 min,"Action, Comedy, Drama",Alex and Jaime traverse the complexities of a lifelong relationship filled with ups and downs.,Pelicula,https://filmzie.com/content/alex--jaime-2017
Inheritance,English,English,2022,72 min,Horror,Scarlett must decide whether to keep or sell her inheritance. Her friends have talked her into going to the house for a weekend getaway. Her uncle Drake has other plans for her gift.,Pelicula,https://filmzie.com/content/inheritance-2022
Departures,Italian,English,2019,16 min,"Short, Drama, Thriller","Ludovico has to accept the hard choice of his sick wife to want to die. He will help her in her intent, but it will take some time to let him find the courage to reveal to his daughter, through memories, his last, desperate act of love.",Pelicula,https://filmzie.com/content/departures-2019
Elsa,English,None,2019,8 min,"Documentary, Short","6-year old Stanley has a year left to be Disney’s Queen Elsa to his heart’s content, before formal education starts.",Pelicula,https://filmzie.com/content/elsa-2019
Our Teacher,English,None,2022,59 min,Documentary,Coast Salish carver Beau Wagner honours his late teacher’s wish by carving a canoe on Gabriola Island with local elementary school students to revitalise Coast Salish canoe culture and foster understanding and respect for Coast Salish knowledge.,Pelicula,https://filmzie.com/content/our-teacher-2022
Kittie: Origins/Evolutions,English,None,2018,93 min,Documentary,"Finding heavy metal stardom as teenagers, Kittie has been thrashing for the past 20 years. With 6 albums and over 2 million in sales, they have defied industry norms, fought against rock stereotypes, and inspired generations.",Pelicula,https://filmzie.com/content/kittie-originsevolutions-2018
Montauk Chronicles,English,English,2015,124 min,Documentary,"Explore the eerie legends of Camp Hero Air Force Base in Montauk, Long Island, in this captivating study of the supernatural and unexplained.",Pelicula,https://filmzie.com/content/montauk-chronicles-2015
Two Days,English,None,2003,91 min,"Comedy, Drama","Paul Miller, a self-described ""failed actor,"" sets out for his final act and his ultimate role: the last two days of his life ending with his suicide on tape. He tries to reunite with old friends and family members to say one last final goodbye, all of whom attempt to coax him out of killing himself or dismiss his intentions as a joke.",Pelicula,https://filmzie.com/content/two-days-2003
Vietnam: The New Light of the East,English,English,2022,25 min,Documentary,"The word Vietnam evokes memories of the war, as portrayed in Coppola's Apocalypse Now. Today, it emerges as a welcoming country, ready to embrace the world.",Pelicula,https://filmzie.com/content/vietnam-the-new-light-of-the-east-2022
Colors of Love,Spanish,English (embedded),2023,66 min,"Documentary, Drama","A compilation of short films: The Man No One Knew, I am, About Queens and Other Colors, The Uncrowned Queen. Step into the lives of individuals navigating identity, performance, and self-acceptance in this captivating compilation. From a colorful street artist's introspection to a night watchman's soul-searching, the stories of queens, drags, and a unique duality create a powerful exploration of human complexities.",Pelicula,https://filmzie.com/content/colors-of-love-2023
The Wrong Rock,English,English,2018,14 min,"Animation, Short, Drama, European Production","Embarking on a grand journey, a mushroom sets out to discover its true purpose in life.",Pelicula,https://filmzie.com/content/the-wrong-rock-2018
Charlie Casanova,English,English,2011,93 min,"Crime, Drama, Thriller, European Production","Charlie Barnum, a privileged man living on borrowed time, wreaks havoc on his friends' lives. Charlie Casanova is a dark, satirical film revealing disturbing truths.",Pelicula,https://filmzie.com/content/charlie-casanova
Pegasus,Chinese,Chinese,2019,98 min,"Comedy, Sport",An old-time racing champion tries to come back to the race track.,Pelicula,https://filmzie.com/content/pegasus-2019
The Mason Brothers,English,English,2020,113 min,"Crime, Drama, Thriller","Outlaws seek justice, betrayed during a bank heist. They confront their brother's killer in a rival gang. Action-packed quest for vengeance unfolds.",Pelicula,https://filmzie.com/content/the-mason-brothers-2020
A War Story,English,None,1981,81 min,"Drama, War","Explore Major Ben Wheeler's remarkable journey as a Japanese POW in Formosa's mining camp. Witness the hardships, resilience, and Wheeler's selfless care for fellow prisoners in this gripping documentary.",Pelicula,https://filmzie.com/content/a-war-story
A Practical Guide to a Spectacular Suicide,English,English,2013,85 min,"Comedy, Drama, European Production","A heartwarming tale with a unique twist! Tom, in his twenties, seeks unconventional solutions after numerous unsuccessful suicide attempts, planning a truly remarkable journey.",Pelicula,https://filmzie.com/content/a-practical-guide-to-a-spectacular-suicide-2013
Two Autumns in Paris,Spanish,English,2019,102 min,Drama,A striking political activist and refugee from Paraguay escapes to Paris and falls in love with a rich law student changing their lives forever. The beauty of their love is challenged by a fervent devotion to fighting for a cause.,Pelicula,https://filmzie.com/content/two-autumns-in-paris-2019
Avanos,Non linguistic content,None,2018,0 min,"Drama, Short, European Production","Tasos, an ex-convict, shoulders guilt for a workplace accident. Kiki, a harassed waitress, faces her breaking point. As pressure mounts, an inevitable eruption looms with imminent consequences.",Pelicula,https://filmzie.com/content/avanos
Remotely Working,English,None,2023,80 min,Comedy,Alex gets fired from his office job and accepts several remote working positions to avoid telling the truth to his girlfriend. The situation that he has placed himself in by working several remote jobs at the same time soon spirals out of control in this hilarious upbeat romantic comedy.,Pelicula,https://filmzie.com/content/remotely-working-2023
U,English,None,2022,60 min,Drama,"Embark on a rollercoaster ride through four interconnected shorts: a lottery ticket, a failed robbery, a lover's confrontation, and a unique chef hired for a dinner party. Get ready for a wild cinematic experience!",Pelicula,https://filmzie.com/content/u-2022
Year Of The Dog,English,English,2019,23 min,"Short, Thriller","In the vibrant setting of LA's Chinatown, a man's obsession turns perilous as he becomes dangerously fixated on a captivating and enigmatic woman.",Pelicula,https://filmzie.com/content/year-of-the-dog
Jennifer Aniston: More Than Friends,English,English,2020,58 min,"Documentary, Biography","Explore the multifaceted journey of global superstar Jennifer Aniston. Overcoming challenges, she radiates vulnerable warmth on and off screen, captivating a loyal audience.",Pelicula,https://filmzie.com/content/jennifer-aniston-more-than-friends-2020
Entity,Spanish,English,2023,72 min,"Horror, Mystery","Two sisters must uncover the existence of a supernatural entity that could have murdered their father, as they question each other's sanity and their own reality.",Pelicula,https://filmzie.com/content/entity-2023
LOL,Russian,English,2012,80 min,Comedy,Two friends from a province dream of fame and riches. A reality show with a hidden secret involves lost treasures and thrilling adventures.,Pelicula,https://filmzie.com/content/lol-2012
For Diego,Spanish,English,2021,95 min,Drama,"Diego is the victim of a hit and run. His family is unable to pay for the surgeries needed to keep him alive. Pablo, Diego's brother, forms a soccer team and enters a tournament to win the prize money and save his brother's life.",Pelicula,https://filmzie.com/content/for-diego-2021
An Intervention,English,English,2021,100 min,Comedy,Chelsea and Graig organize a surprise intervention for her ex-boyfriend Henry. Watch as a diverse group from their high school days reunites for this unexpected event.,Pelicula,https://filmzie.com/content/an-intervention-2021
I Heart Monster Movies,English,None,2012,77 min,"Documentary, Horror","Horror movies thrill fans, fueling obsessions and fears. Explore the allure, ethos, and philosophies behind these unique individuals. A behind-the-scenes view of macabre fascination.",Pelicula,https://filmzie.com/content/i-heart-monster-movies-2012
Seven Lost,English,English,2021,80 min,"Action, War","Experience the gripping journey of American troops stranded in the Italian wilderness, fighting to find their way back to safety in World War 2.",Pelicula,https://filmzie.com/content/seven-lost-2021
Losing Ground,English,None,2005,90 min,Drama,"""Losing Ground"" is a gripping contemporary drama based on the acclaimed stage play by Tom Noonan. Watch the interactions of seven strangers in a Las Vegas video-poker bar.",Pelicula,https://filmzie.com/content/losing-ground-2005
Fuck Verlaine,French,English (embedded),2020,33 min,"Short, Comedy, Drama","Sandra entrusts Hercules with her suitcase during her summer internship, fueling his hopes of a future together. Meanwhile Nat's chance encounter at a bar leads to an unexpected twist as the woman becomes infatuated with Hercules.",Pelicula,https://filmzie.com/content/fuck-verlaine-2020
C-Bar,English,Subtitles,2015,0 min,Western,"After a young girl's family is brutally murdered, the Barnett Gang sets out to hunt down the evil men who committed the crime. They would never expect the repercussions that would ensue.",Serie,https://filmzie.com/content/c-bar-2015
A Long Way Off,English,English,2014,104 min,"Drama, Family, Romance",A contemporary retelling of The Prodigal Son Parable. Witness a timeless tale of redemption and forgiveness.,Pelicula,https://filmzie.com/content/a-long-way-off-2014
Borderline,Spanish,English,2017,96 min,"Crime, Drama, Horror, European Production","Two estranged sisters journey to a mountain to scatter their mother's ashes on her 10th death anniversary. As past and present merge, paranoia consumes them.",Pelicula,https://filmzie.com/content/borderline-2017
The Frame,English,English,2014,127 min,"Sci-Fi, Drama","Alex, a meticulous cargo thief for a dangerous cartel, and Sam, a driven paramedic fleeing her past, have their lives unexpectedly intertwined.",Pelicula,https://filmzie.com/content/the-frame-2014
Eddie: The Sleepwalking Cannibal,English,English,2012,82 min,"Comedy, Horror","A painter struggling for inspiration finds an unexpected muse after he accepts a teaching position in a small town and becomes the caregiver to Eddie, a seemingly docile art student with a rare sleepwalking condition.",Pelicula,https://filmzie.com/content/eddie-the-sleepwalking-cannibal-2012
Miracle in the Valley,English,English,2016,95 min,"Drama, Family, Western","Melinda, a thirteen-year-old grappling with her identity, yearns to uncover the truth about her estranged father. With obstacles at every turn, she seeks answers and acceptance from her family, herself, and her faith.",Pelicula,https://filmzie.com/content/miracle-in-the-valley-2016
The Edge of Paradise,English,English,2018,85 min,Documentary,"Howard Taylor, brother of actress Elizabeth, bails out a rag-tag band of young Mainlanders jailed for vagrancy and invites them to live on his oceanfront land. Soon, waves of hippies, surfers, and troubled Vietnam vets find their way to this clothing-optional, pot-friendly, tree house village at the end of the road on Kauai's North Shore-the ultimate hippie fantasy perched in a pristine forest along a beach in paradise, until the locals decide it's time for them to go.",Pelicula,https://filmzie.com/content/the-edge-of-paradise-2018
Tomcat Tales,English,English,2020,120 min,"Documentary, History, War",The ultimate feature documentary about Hollywood's favorite Top Gun fighter. Get ready to strap in and watch the Navy's top aviators tell their never-before-heard stories of what it was like flying the legendary F-14 Tomcat!,Pelicula,https://filmzie.com/content/tomcat-tales-2020
Edges of Darkness,English,English,2008,85 min,Horror,Experience three chilling tales in the midst of a zombie apocalypse. Brace yourself for terror in this interconnected horror anthology.,Pelicula,https://filmzie.com/content/edges-of-darkness-2008
Seed,English,English,2017,79 min,Documentary,"Fourteen teams of programmer entrepreneurs. Three minutes to pitch. One shot to fund their proposals. Immerse yourself in Angelhack, one of most competitive global hackathons.",Pelicula,https://filmzie.com/content/seed-2017
Holy Boom,Modern Greek (1453-),English,2018,98 min,Drama,A random explosion connects three stories of strangers seeking a way to survive on the edge of legality.,Pelicula,https://filmzie.com/content/holy-boom-2018
Ice Cream in the Cupboard,English,English,2019,90 min,"Biography, Drama, Romance","After being physically attacked by his loving wife Carmen, a series of unsettling incidents lead her husband Pat to question just what is happening to her. It's only when Carmen can't find her own house one day, that she and Pat are ready to face the unimaginable: Carmen has early onset Alzheimer's. As her cognition deteriorates, and the time draws closer when Carmen will no longer even recognize her devoted husband, Pat finds refuge in the only place left that the disease can't reach -- his memories of their life together.",Pelicula,https://filmzie.com/content/ice-cream-in-the-cupboard-2019
Vallanzasca: Angel of Evil,Italian,English,2010,128 min,"Biography, Crime, Drama","Unveil the life of Renato Vallanzasca, the Milanese bank robber, in this gripping biography.",Pelicula,https://filmzie.com/content/vallanzasca-angel-of-evil-2010
Sara and Ayda,Persian,English,2017,83 min,Drama,"Sara and Ayda, close friends, rally together when one's reputation is at stake. How deep are they willing to dive to support each other?",Pelicula,https://filmzie.com/content/sara-and-ayda-2017
Zoetrope,Bulgarian,English,2018,100 min,"Animation, European Production","In a labyrinth of extraordinary objects, robots Primus and Decimus embark on a quest. Curiosity leads them to uncover and reclaim the stories behind each object they encounter.",Pelicula,https://filmzie.com/content/zoetrope-2018
Real Charity,English,English,2019,2 min,Animation,What is the secret of happiness? Thinking about the pain of others is a good start on the path of evolution.,Pelicula,https://filmzie.com/content/real-charity-2019
Dog Years,English,Subtitles,2021,0 min,"Comedy, Family","Dash the dog gets up to fun and hi-jinks with his oddball human family, passing on the lessons he learns to his young pups.",Serie,https://filmzie.com/content/dog-years-2021
I See You,English,English,2019,78 min,Thriller,"A video blogger records his new relationship--but a series of disturbing murders are also captured on his camera, and the true identity of the killer is hidden--for now.",Pelicula,https://filmzie.com/content/i-see-you-2019
Hotel Brothers,English,English,2020,72 min,Documentary,"After high school, two Canadian brothers embark on a journey to Nicaragua, building the world's first action sports resort. Amid civil war, they relocate to Costa Rica, constructing a second resort.",Pelicula,https://filmzie.com/content/hotel-brothers-2020
Last Days,German,English (embedded),2019,30 min,"Short, Drama","Amidst the consumer world, four teens navigate the final school days in a shopping mall, seeking identity. ""Last Days"" labels echo their apocalyptic fear, lust for life, and the need for something new.",Pelicula,https://filmzie.com/content/last-days-2019
Blacksmith,English,None,2017,15 min,"Documentary, Short","""Blacksmith"" is a captivating 15-minute documentary showcasing Rob Flurry, the resident blacksmith at Spindletop-Gladys City Boomtown Museum in Beaumont, Texas.",Pelicula,https://filmzie.com/content/blacksmith-2017
First Signal,English,None,2021,102 min,"Drama, History, Sci-Fi",When Air Force Space Command receives a signal from an alien satellite in Earth orbit an emergency meeting with the President reveals a government conspiracy.,Pelicula,https://filmzie.com/content/first-signal-2021
Bobbi and Sheelagh,English,None,2018,11 min,"Animation, Short","A lesbian meets a mythological creature in this traditionally animated short . Created with thousands of hand painted cells, it examines questions of gender and queer magic. Featuring Canadian actor Nisha Ahuja and Irish actor Mel Bradley. Created with support from the National Film Board and Canada Arts Council.",Pelicula,https://filmzie.com/content/bobbi-and-sheelagh-2018
Bible Town,English,"English, Spanish, Portuguese",2017,83 min,Animation,"Embark on a journey to BIBLE TOWN with best friends Jimmy, Sarah, and Tammy. Experience the wonder of inspirational Bible stories told by its extraordinary inhabitants.",Pelicula,https://filmzie.com/content/bible-town-2017
Retrocausality,English,English,2019,73 min,"Drama, Romance","In the midst of the Covid-19 pandemic, Scott, a 22-year-old actor, races against time to locate a girl he shares an inexplicable bond with, as his mother falls victim to an unfamiliar virus.",Pelicula,https://filmzie.com/content/retrocausality-2019
The Foundling,Russian,English,1940,69 min,"Comedy, Drama","An old woman seeks water, but the apartment owners find a missing piano. Join Natasha and her friends in a series of captivating adventures.",Pelicula,https://filmzie.com/content/the-foundling-1940
45RPM,English,None,2013,97 min,Comedy,"Artist Charlie and record collector Louie embark on a quest for a rare 1960s recording, linking art and music while exploring the uncharted landscape of the new Old South.",Pelicula,https://filmzie.com/content/45rpm
Homo Sapiens in Space,English,"German, English, Spanish, French",2019,3 min,"Comedy, Short",Join Fredrick Atom-Burger on an extra-ordinary adventure observing Homo Sapiens (Humans) in their newest Habitat: the International Space Station. We will be uncovering the typical daily activities undertaken by these rare Homo Sapien Astronauts in Space.,Pelicula,https://filmzie.com/content/homo-sapiens-in-space-2019
Assassin's Vow,English,English,2007,94 min,Action,"Set in the crime underworld of South Florida, Jacqueline is used as a pawn by her Miami crime boss father Jimmy Bombay. To expand his crime empire and join forces with an international drug cartel, Jimmy has arranged for Jacqueline to marry Dante Calivari, the son of a foreign drug lord. As Jacqueline fights for her freedom, her only solace is found in the counsel of a priest. But in this world of lies and deception, all is not as it seems as a journey down the aisle turns deadly.",Pelicula,https://filmzie.com/content/assassins-vow-2007
Blind Turn,English,"English, Spanish, French, Italian, Chinese",2012,85 min,"Drama, Mystery, Thriller",Samantha Holt is forced to confront her dark secrets when she is kidnapped and held prisoner by a man from her past out for revenge.,Pelicula,https://filmzie.com/content/blind-turn-2012
Stay,English,English,2021,82 min,Horror,"As Olivia climbs the ladder of fame as a model and influencer, a shocking decision plunges her into a harrowing struggle for her very soul.",Pelicula,https://filmzie.com/content/stay-2021
The Cutting Room,English,English,2015,72 min,Horror,"Unaware of lurking evil, college students Raz, Charlie, and Jess embark on a Media Studies project. Cyberbullying and missing girls lead them to an eerie army barracks in the forest. Trapped in a labyrinth, a tormentor awaits.",Pelicula,https://filmzie.com/content/the-cutting-room-2015
White Planet,Spanish,English,2013,61 min,"Biography, Documentary, History, Sport, European Production","Our South Pole: A groundbreaking documentary on the disabled conquering the South Pole, following Shackleton's path. A testament to the limitless abilities of the handicapped.",Pelicula,https://filmzie.com/content/white-planet
The Last Schnitzel,Turkish,English (embedded),2017,22 min,"Short, Comedy, Fantasy, Sci-Fi, European Production","In a future where Earth is uninhabitable, the President of The Grand Turkish Republic craves a chicken schnitzel, but chickens are extinct. Kamil, the Chief Presidential Assistant, faces a daunting challenge to save their nation.",Pelicula,https://filmzie.com/content/the-last-schnitzel
Cities in Crisis,English,English,2014,56 min,Documentary,"""Cities In Crisis"" sheds light on America's youth violence epidemic, uniting local officials, community leaders, educators, and residents to explore solutions and address urban youth violence in cities nationwide.",Pelicula,https://filmzie.com/content/cities-in-crisis-2014
Southwest Living,English,Subtitles,2006,0 min,"Reality TV, History, Family, Documentary","Embrace Southwestern lifestyles through cooking, gardening, home styles, outdoor living, and travel. Celebrate cultural heritage with history, traditions, and unique destinations.",Serie,https://filmzie.com/content/southwest-living-2006
The Temptation Game,English,None,2015,13 min,"Drama, Short, European Production",Laura and Charlie engage in a playful game. He must resist the allure of an actress portrayed by Laura. But beneath the fun lies a fidelity test. Who will emerge victorious?,Pelicula,https://filmzie.com/content/the-temptation-game
Hardball: The Girls of Summer,English,None,2019,74 min,"Documentary, Sport","""Hardball: The Girls of Summer"" follows the top female baseball players in the USA, all members of the globally ranked US Women's National Baseball Team. They play BASEBALL - not softball - and fight for equality, recognition, and acceptance in a sport that continues to exclude women and girls. These trailblazers chase their dream of winning a Gold Medal at the Women's Baseball World Cup, playing professional ball, and creating opportunities for the girls coming up behind them. This is their quest to prove that women and girls belong on the baseball diamond and have a place in America's Pastime. This is the world of women's baseball. Narrated by Jessica Mendoza.",Pelicula,https://filmzie.com/content/hardball-the-girls-of-summer-2019
Zombie Beach,English,English,2010,70 min,"Action, Comedy, Horror","Centuries ago, rather than have a full out war of the revelation, a deal was struck between the heroes of good and evil. The beach you visited was sanctioned to the evil. There, the undead could walk like living beings among us. Most of us refer to them as Zombies.",Pelicula,https://filmzie.com/content/zombie-beach-2010
A Man Without Shadow,Persian,English,2019,88 min,"Crime, Drama, Mystery",A movie maker experiences in real life the similar events he made a movie about.,Pelicula,https://filmzie.com/content/a-man-without-shadow-2019
