titulo,idioma,subtitulos,ano,duracion_minutos,categorias,sinopsis,tipo,link
Forbidden Love: The Unashamed Stories of Lesbian Lives,English,No contiene subtitulos,1992,84,Documentary,"Explore the lives of ten women in Vancouver and Toronto, reflecting on lesbian experiences in the mid-20th century. From pulp fiction to police raids, delve into their stories and hear from Ann Bannon, a writer in the genre.",Pelicula,https://filmzie.com/content/forbidden-love-the-unashamed-stories-of-lesbian-lives
Shining Moon: Director's Cut,Spanish,"English, Portuguese",2020,106,"Comedy, Drama","A jobless gay actor in his sixties is offered the dream role of a lifetime in a feature film, but he must play an elderly drag. Renato needs to overcome his prejudices to understand himself and the others better. A story of redemption.",Pelicula,https://filmzie.com/content/shining-moon-directors-cut-2020
A Hitman in London,English,English,2015,97,"Action, Crime","Bradley, a killer for hire, haunted by guilt, wanders the dangerous streets of the inner city in search of redemption. Watch free movie online.",Pelicula,https://filmzie.com/content/a-hitman-in-london-2015
We Live in Public,English,English,2009,88,Documentary,Delve into the captivating life of dot-com entrepreneur Josh Harris. This documentary explores his thrilling exploits of the past decade.,Pelicula,https://filmzie.com/content/we-live-in-public-2009
Fishtales,English,English,2016,71,Animation,"Join Cleo, Puffer, and their manta ray friend Crash as they embark on an oceanic quest to find their lost octopus companion, encountering fascinating sea creatures along the way. Dive into this aquatic adventure now!",Pelicula,https://filmzie.com/content/fishtales-2016
Bad Days,Spanish,English,2016,91,Thriller,Emilia and her mother Lucia are forced into isolation after her stepfather steals a shipment of emeralds. But the unexpected arrival of two hired assassins at the cabin where they are hiding out unleashes a dangerous and volatile standoff.,Pelicula,https://filmzie.com/content/bad-days-2016
Centaura,English,No contiene subtitulos,2020,16,"Short, Animation",Two tribes invoke the Deity Rudá to come celebrate the rite of love. They believe that Rudá comes from the clouds and that love is free from all prejudices.,Pelicula,https://filmzie.com/content/centaura-2020
A Venue for The End of the World,English,English,2014,94,"Documentary, History, Music, Comedy, European Production","A filmmaker delves into the perilous world of audience manipulation and leader worship, drawing eerie connections between Nazi stage techniques and modern entertainment. Uncover the haunting truth.",Pelicula,https://filmzie.com/content/a-venue-for-the-end-of-the-world
Shadows,Portuguese,English,2017,6,"Horror, Short","During a blackout at her apartment, Livia is a young writer that will face her biggest phobia: fear of the dark. The young woman believes that there is something evil in her house and, at the moment, only one person hears her request for help.",Pelicula,https://filmzie.com/content/shadows-2017
Call Me Thief,Afrikaans,English,2016,120,"Crime, Drama",A film based on the true life story of a young man who becomes a storyteller in jail.,Pelicula,https://filmzie.com/content/call-me-thief-2016
Tinker Man,English,English,2022,45,Drama,"In an unexpected twist, a troubled couple switches bodies, gaining new insights. Living each other's lives, will it mend their relationship or seal its fate? Find out in this captivating tale.",Pelicula,https://filmzie.com/content/tinker-man-2022
Home for Christmas,English,English,2014,93,"Comedy, Romance","Love gets messy for Beth, who craves her own fairy tale ending. When her boyfriend won't say ""I love you,"" she takes matters into her own hands, leading to instant regret.",Pelicula,https://filmzie.com/content/home-for-christmas-2014
Lonesome Boy,Portuguese,English,2020,90,"Documentary, Drama, Family","Hugo, a teenager, imagines a movie about his loneliness.",Pelicula,https://filmzie.com/content/lonesome-boy-2020
Cocote,Spanish,English,2017,106,"Thriller, Mystery","An Evangelical Christian man attends the funeral services of his father in his hometown, where he has to participate in religious rites that clash with his beliefs and finds himself pressured to take revenge on the murderer.",Pelicula,https://filmzie.com/content/cocote-2017
Cachés Cachés,French,English (embedded),2021,21,"Short, Drama","Alice, 8, does not feel like going home. A terrorist attack exercise at school will give her ideas.",Pelicula,https://filmzie.com/content/caches-caches-2021
Earth At Risk: Building A Resistance Movement To Save The Planet,English,No contiene subtitulos,2011,416,Documentary,"Earth at Risk: An annual conference with fearless thinkers and activists exploring our urgent situation. Featuring insightful interviews and presentations by Jensen, Roy, Catton Jr., and more.",Pelicula,https://filmzie.com/content/earth-at-risk-building-a-resistance-movement-to-save-the-planet-2011
The Last Supper: A Sopranos Session,English,English,2020,71,Documentary,"An intimate and hugely entertaining dinner with key members of the cast of The Sopranos, as they reminisce about the show, filmed in the Little Italy restaurant, IL Cortile, that cast members would go to for a commiseration dinner after their character had been killed off in the show.",Pelicula,https://filmzie.com/content/the-last-supper-a-sopranos-session-2020
Keteke (Expecting Delays),English,English,2017,70,"Comedy, Drama, Romance","It's the 80s rail service system, and the train is the only means of transport from the outskirts. A couple BOI (Adjetey Anang) and ATSWEI (Lydia Forson) is bent on delivering their first baby in Akete but misses their first train. A wrong decision finds them in the middle of nowhere. Will they make it on time for the delivery, or, risk losing the baby and mother?",Pelicula,https://filmzie.com/content/keteke-expecting-delays-2017
Symbols of Resistance: A Tribute to the Martyrs of the Chican Movement,English,No contiene subtitulos,2017,72,Documentary,"Symbols of Resistance uncovers Chicano struggles, student activism, and police repression. Explore history's dynamic moment, identity, land, and community issues. Featuring Falcón, Martínez, and more.",Pelicula,https://filmzie.com/content/symbols-of-resistance-a-tribute-to-the-martyrs-of-the-chican-movement-2017
Sad Song of Yellow Skin,English,No contiene subtitulos,1970,58,Documentary,Experience the people of Saigon through the lens of three young American journalists investigating the aftermath of the Vietnam War and the impact of the American presence.,Pelicula,https://filmzie.com/content/sad-song-of-yellow-skin
That's Amore,English,No contiene subtitulos,2020,100,"Comedy, Drama, Romance","Lucia Lombardi, a single middle aged nurse, finds herself in a difficult situation when she makes a deal with her ailing mother Rosa that involves her unwitting dentist friend Rocco and his best friend Gino.",Pelicula,https://filmzie.com/content/thats-amore-2020
This River,English,No contiene subtitulos,1962,19,"Documentary, Short",Discover the captivating legend of a lost gold mine and treacherous river in the Northwest Territories. Follow aging prospector Albert Faille in his relentless pursuit amidst the wild beauty of this Canadian odyssey.,Pelicula,https://filmzie.com/content/this-river
Magic Dream,English,English,2018,11,"Animation, Short, Comedy","A magician wants to convince with his magic and brilliance, but his capability exceeds the limits of his own control, leading him to a show full of violence and abuse. Hand made animation painted by Tomás Welss.",Pelicula,https://filmzie.com/content/magic-dream-2018
Girl Lost,English,English,2016,95,Drama,"A teenage girl, whose mother is at the end of her career as a sex escort, has to find a way to make money to support them both in Los Angeles.",Pelicula,https://filmzie.com/content/girl-lost-2016
Léo,French,English (embedded),2020,17,"Drama, Short","Leo, at thirty, feels misunderstood and rejected by others; he lives as a recluse at home. Become an escort boy to meet his needs, he leads a very organized life so as not to lose his footing. Nevertheless, one of his clients does not leave him indifferent. In this process, Leo must also face his best friend, determined to help her.",Pelicula,https://filmzie.com/content/leo-2020
Outpost 11,English,English,2013,90,"Drama, Horror, Mystery","In an alternate steampunk world, Outpost 11 follows three soldiers in the Arctic. When chaos strikes, they battle madness, isolation, and arctic spiders to survive. A mix of The Thing, How I Ended this Summer, and Videodrome.",Pelicula,https://filmzie.com/content/outpost-11-2013
Women in Hip-Hop,English,No contiene subtitulos,2023,42,"Documentary, European Production","3 women. 3 modern hip-hop legends. Each of them has brought something new to the game. All have fierce individuality and ferocious ambition. In a genre previously only dominated by men, these badass women have flexed their skills and come out on top.",Pelicula,https://filmzie.com/content/women-in-hip-hop-2023
Until Midnight,English,English,2016,25,"Short, Drama","In this introspective dark comedy, a businessman with hidden motives, a janitor, and a mysterious woman become entangled in a peculiar situation that must unravel before midnight.",Pelicula,https://filmzie.com/content/until-midnight-2016
The Texture of Falling,English,English,2018,74,Drama,"Experience the unique blend of pop surrealism and satirical melodrama in ""The Texture of Falling."" Filmmaker Louisa meets pianist Luke, embarking on a journey of artistic turmoil and self-discovery.",Pelicula,https://filmzie.com/content/the-texture-of-falling-2018
Free China: The Courage to Believe,English,English,2011,61,Documentary,"Jennifer Zeng and Dr. Charles Lee are jailed and tortured in China for their belief in Falun Gong, a meditation practice that swept the nation in the 1990s.",Pelicula,https://filmzie.com/content/free-china-the-courage-to-believe-2011
Critic,English,English,2013,71,Drama,A film critic loses himself into an immoral wasteland and does bad things to people.,Pelicula,https://filmzie.com/content/critic-2013
A Frozen Christmas Dance: Christmas Miracle,English,English,2021,61,"Animation, Family","It's Christmas and all of Sunnyville is preparing for a wonderful holiday and non-stop dance party. What miracle will Santa perform for his friends this year? Find out in the most exciting Holiday dance party around, A Frozen Christmas Dance: Christmas Miracle.",Pelicula,https://filmzie.com/content/a-frozen-christmas-dance-christmas-miracle-2021
Unsupersize Us,English,No contiene subtitulos,2016,82,Documentary,The follow up to the award-winning film Unsupersize Me (2013). Juan-Carlos Asse takes five subjects from his hometown that all suffer from common health issues and puts them on regimen of a plant based diet and exercise for six weeks.,Pelicula,https://filmzie.com/content/unsupersize-us-2016
Flesh Wounds,English,English,2011,81,"Action, Sci-Fi, Thriller","Flesh Wounds: On a remote US Army facility, a group of scientists conducting top secret weapon experiments, vanish. An elite covert ops team, commanded by Lt. Tyler (Kevin Sorbo), is tasked with recovering the missing personnel within 24 hours.",Pelicula,https://filmzie.com/content/flesh-wounds-2011
Mechanization at Work,English,English,2019,1,"Documentary, Animation, Comedy","The process of industrialization completely transformed labor relations. Instead of a human relationship, we have people who are increasingly competitive and cruel.",Pelicula,https://filmzie.com/content/mechanization-at-work-2019
Peach,English,English,2020,8,"Comedy, Short","A socially anxious young woman lands a hot date. There’s only one problem, she’s not sure if it’s actually a date.",Pelicula,https://filmzie.com/content/peach-2020
Maria And I,Spanish,English,2010,76,"Documentary, Biography, Drama, European Production",María and her mother May live in the Canary Islands while Miguel resides in Barcelona. Their vacation in Gran Canaria challenges societal norms.,Pelicula,https://filmzie.com/content/maria-and-i-2010
Vampiyaz,English,English,2004,83,"Crime, Horror",A hip-hop ex-con reunites with vampire hunter-killers to reclaim his neighborhood from vampire invaders. Action-packed urban vampire saga!,Pelicula,https://filmzie.com/content/vampiyaz-2004
US(OTHERS),Spanish,English (embedded),2016,20,Short,"A blank set. A woman holds a sign with a question while a hooded character resists to answer it. This question turns into other questions. A family stages for a family portrait surrounding the father figure. Venus stares at her reflection in the looking glass, asks for herself. An omnipresent voice demands answers, the answer is a shout. ",Pelicula,https://filmzie.com/content/usothers-2016
A Star Is Born,English,English,1937,110,"Drama, Romance","A young woman's Hollywood dreams come true with the aid of an alcoholic leading man whose glory days have faded. Together, they find stardom and more.",Pelicula,https://filmzie.com/content/a-star-is-born-1937
The Light of the Moon,English,No contiene subtitulos,2017,94,Drama,"After her world is irrevocably changed, a successful New York City architect struggles to regain intimacy and control in her life.",Pelicula,https://filmzie.com/content/the-light-of-the-moon-2017
Say Yes,English,English,2018,94,Drama,"When Lily is diagnosed with cancer, her beloved twin brother, Caden, moves in to help and ends up forming a strong bond with Lily's husband, Beau. Lily makes the two men in her life promise to find happiness as a couple after she's gone. But can a straight guy really fall in love with another man?",Pelicula,https://filmzie.com/content/say-yes-2018
Aftermass: Bicycling In A Post-critical Mass Portland,English,No contiene subtitulos,2013,74,"Documentary, History, Sport","Inspiring documentary on Portland's bike-friendly transformation. Explore events, leaders, and the grassroots Critical Mass ride. Witness smiles, struggles, controversies, setbacks, and a police spy. Captivating and must-watch!",Pelicula,https://filmzie.com/content/aftermass-bicycling-in-a-post-critical-mass-portland-2013
The Edge of Adventure with Adam Asher: Nicaragua,English,"Afrikaans, Arabic, Bengali, Modern Greek (1453-), English, Spanish, Finnish, French, Hindi, Portuguese",2022,49,"Documentary, Adventure","Join Adam Asher for this cinematically brilliant journey to one of the most remote corners of Central America. Extreme beauty meets devastating needs as Adam takes you overland, upriver, and beyond the status quo to discover what really matters.",Pelicula,https://filmzie.com/content/the-edge-of-adventure-with-adam-asher-nicaragua-2022
A Mountain Between Us,English,"English, Spanish",2024,89,Romance,"""A Mountain Between Us"" is an adventurous dramedy packed with entertaining scenes, characters, and picturesque backdrops which will lead you on a journey that will touch your heart and leave you with a memory that will last a lifetime.",Pelicula,https://filmzie.com/content/a-mountain-between-us-2024
The Night of the Harvest,English,No contiene subtitulos,2024,125,"Horror, Thriller",Aubrey and her friends go geocaching in the woods behind an old cornfield where they are trapped and hunted by a masked woman in white.,Pelicula,https://filmzie.com/content/the-night-of-the-harvest-2024
Khazana,English,"English, Spanish",2014,71,"Drama, Horror, Thriller","Haunted by abuse from her new family, a young bride grapples with her sanity. But when she resolves to fight back, everything changes.",Pelicula,https://filmzie.com/content/khazana
The Evangelist,English,No contiene subtitulos,2009,83,"Comedy, Drama","In Provincetown, MA, theater director Danny adopts Gideon, a religious fanatic. As Gideon's radical ideas stir up trouble, Danny faces a challenging dilemma. A thought-provoking story of faith and community.",Pelicula,https://filmzie.com/content/the-evangelist
Hit List,English,English,2011,91,"Comedy, Romance","A hitman (Joey Lawrence) falls for a woman (Shirly Brener) with anger issues. When he discovers her journal, he embarks on an unconventional journey to show his love.",Pelicula,https://filmzie.com/content/hit-list-2011
Incident at Guilt Ridge,English,English,2020,75,Western,"Dev and Jonas are two rogues on sort-of-opposite sides of the law in the 1880's. When they accept a job that seems like easy money from a powerful mining company owner, they end up getting more than they bargained for.",Pelicula,https://filmzie.com/content/incident-at-guilt-ridge-2020
The Equation Of Life,English,No contiene subtitulos,2014,33,"Biography, Short, Drama","Heartbreaking and impactful, Nathan's transformation from a sweet child to a violent bully due to abuse unfolds. A tragic event prompts reflection on kindness, safety, and the lasting impact on future generations.",Pelicula,https://filmzie.com/content/the-equation-of-life
The Mountain,English,English,2017,51,Drama,"The Mountain: A gripping true story of Amy, a girl battling PTSD. Corruption and neglect plague the Neuro-Rehab Center. In chaos, Amy finds solace in Charity, a staff member turned love interest.",Pelicula,https://filmzie.com/content/the-mountain
Cold,English,"English, Spanish",2018,79,"Thriller, Drama","Truck drivers Keeta Gregory, and Holly Montero departed at 6am on December 22nd, 2015 with a delivery truck full of pallets of ice, and misc frozen items to be delivered . 4 days later, the girls were never heard from again. Follow the team of detectives as they try to crack the case of the two missing girls.",Pelicula,https://filmzie.com/content/cold-2018
Crazed Gender Twisters From Planet X,English,English,2018,58,"Animation, Comedy, Short","Bitch and Slut are the most evil, bloodthirsty, merciless - and sexually deviant - women in the universe. But they have some serious sibling rivalry issues. Roaming the galaxy looking for new worlds to conquer and destroy, the twisted sisters stumble across Planet Earth - look out humanity!!!! Laying waste to the human race is easy - but dealing with their own bickering is another thing.",Pelicula,https://filmzie.com/content/crazed-gender-twisters-from-planet-x-2018
Real Charity,English,English,2019,2,Animation,What is the secret of happiness? Thinking about the pain of others is a good start on the path of evolution.,Pelicula,https://filmzie.com/content/real-charity-2019
Who Is Arthur Chu?,English,English,2017,89,"Documentary, Biography, European Production","Witness the captivating journey of Arthur Chu, the renowned Jeopardy! champion turned internet iconoclast. In this award-winning documentary, he grapples with personal and societal transformation in a pivotal year.",Pelicula,https://filmzie.com/content/who-is-arthur-chu-2017
Apache Leap,English,English,2021,82,Drama,"Apache artist Keane is forced into a desperate mission to get a job before the deadline passes and his dreams evaporate, all while navigating family stresses, enemies from his past, and an unpredictable old car.",Pelicula,https://filmzie.com/content/apache-leap-2021
Retrocausality,English,English,2019,73,"Drama, Romance","In the midst of the Covid-19 pandemic, Scott, a 22-year-old actor, races against time to locate a girl he shares an inexplicable bond with, as his mother falls victim to an unfamiliar virus.",Pelicula,https://filmzie.com/content/retrocausality-2019
Restless,English,English,2021,24,"Short, Thriller","When you are home alone anything can happen, even your neighbors can reveal themselves in their true form.",Pelicula,https://filmzie.com/content/restless-2021
24 Hours To Kill,English,No contiene subtitulos,1965,92,"Drama, Thriller, European Production","During a 24-hour layover in Beirut, a plane crew member unwittingly gets involved in smuggling, drawing the attention of a dangerous criminal. The pilot must shield his friend from the gang's wrath.",Pelicula,https://filmzie.com/content/24-hours-to-kill
I Can't Breathe: God Forgive Them,English,English,2022,65,Drama,"5 over-zealous police officers kills an innocent man, who is brought back to life in the ambulance. He then relies on his faith to overcome many hurdles and struggles. Starring Kevin Sorbo, Shane Yuhas, and Joseph Moreland.",Pelicula,https://filmzie.com/content/i-cant-breathe-god-forgive-them-2022
Todd Rundgren - The Individualist Live,English,No contiene subtitulos,2022,131,Music,"Filmed live in 2019 at Penn's Peak in Jim Thorpe, PA, this Todd Rundgren concert showcases his illustrious career. With his talented bandmates, Todd mesmerizes fans for 2+ hours, performing hit songs.",Pelicula,https://filmzie.com/content/todd-rundgren---the-individualist-live-2022
Planet Zee,English,English,2021,96,"Comedy, Horror","Join Zee and Granny Sam in a twisted online game that traps them in a nightmarish room. Experience violence, death, and an eerie battle for survival.",Pelicula,https://filmzie.com/content/planet-zee-2021
One Life at a Time,English,English,2020,73,Drama,"Featuring Dean Cain and Luke Schroder, One Life at a Time highlights both the importance of awareness and the misconceptions of homelessness in West Michigan, in addition to having an historical nod to Mel Trotter.",Pelicula,https://filmzie.com/content/one-life-at-a-time-2020
The Mason Brothers,English,English,2020,113,"Crime, Drama, Thriller","Outlaws seek justice, betrayed during a bank heist. They confront their brother's killer in a rival gang. Action-packed quest for vengeance unfolds.",Pelicula,https://filmzie.com/content/the-mason-brothers-2020
The Milky Way,Unknown,English (embedded),1969,101,"Drama, European Production","Embark on a transformative pilgrimage as two drifters journey from France to Santiago de Compostela in Spain. They confront dogmas, heresies, and the challenges of survival while hitchhiking and seeking sustenance along the way.",Pelicula,https://filmzie.com/content/the-milky-way-1969
Hotel De Sade,Chinese,English,2012,96,"Thriller, Drama, Horror","Believing that he killed his daughter instead of saving her from kidnappers, Zhang Li is dismantled. He finds himself lured to China seeking solace in pain and blood at Paradise Hotel where every carnal and beastly desire is satiated.",Pelicula,https://filmzie.com/content/hotel-de-sade-2012
Permanent,English,English,2014,100,"Action, Crime, Drama","In a gripping tale, six individuals confront their pasts and the grip of the mob underworld. As they navigate sex, drugs, guns, and God, life-altering events unfold, forever changing their lives.",Pelicula,https://filmzie.com/content/permanent-2014
The Boxing Girls of Kabul,Persian,No contiene subtitulos,2012,52,Documentary,"Young Afghan women undergo rigorous training to compete as boxers in the 2012 Olympics, aiming to proudly represent their country.",Pelicula,https://filmzie.com/content/the-boxing-girls-of-kabul
When I Walk,English,English,2013,84,Documentary,"When I Walk is one man's emotional and inspiring journey during six years of life following his multiple sclerosis diagnosis. For Jason DaSilva, life's most challenging and joyous moments are yet to come.",Pelicula,https://filmzie.com/content/when-i-walk-2013
Wordless,Chinese,English (embedded),2018,6,"Drama, Short",Nan struggles to connect in America because of what he left in China.,Pelicula,https://filmzie.com/content/wordless-2018
Hangman,English,English,2016,25,Short,"In the midst of World War II, a brave young gunner parachutes from his bomber, only to find himself suspended from a tree, 40 feet above ground.",Pelicula,https://filmzie.com/content/hangman-2016
Eight,English,"Czech, German, Modern Greek (1453-), English, Spanish, French, Indonesian, Italian, Japanese, Korean, Polish, Portuguese, Romanian, Russian, Turkish, Chinese",2016,81,Drama,"Crippled by severe agoraphobia and OCD, Sarah has not left her house in two years. Each day is a series of rituals repeated in series of eights. But today Sarah will attempt to fulfill one simple yet seemingly impossible task: stepping out the front door.",Pelicula,https://filmzie.com/content/eight-2016
Mojave Shadows,English,No contiene subtitulos,2019,25,"Drama, Short",Susan hikes in the middle of the Mojave Desert in coming to terms with guilt of her son's death. Until one night she is attacked by a rattlesnake and finds herself stranded in the middle of the Mojave.,Pelicula,https://filmzie.com/content/mojave-shadows-2019
16 Bars,English,English,2018,95,Documentary,Inmates in Virginia attempt to transcend the cycle of recidivism through an unlikely artistic collaboration behind bars with Grammy-winning hip hop artist Todd 'Speech' Thomas.,Pelicula,https://filmzie.com/content/16-bars-2018
Only the Brave,English,No contiene subtitulos,2006,100,"Drama, War","A searing portrait of war and prejudice, 'Only the Brave' takes you on a haunting journey into the hearts and minds of the forgotten heroes of WWII - the Japanese-American 100th/442nd. In 1941, when Japan attacked Pearl Harbor, overnight Japanese Americans were put into internment camps for the duration of the war. Determined to prove their loyalty.",Pelicula,https://filmzie.com/content/only-the-brave-2006
The Wife That Didn't Know She Married,English,No contiene subtitulos,2024,63,Drama,"Searching in the wrong places for love, Tessa finds herself quickly marrying Xavier. In a short amount of time, Tessa finds out everything her newly wedded husband told her was a complete lie. Now she's left to put together pieces of the puzzle to figure out who it is that she really married.",Pelicula,https://filmzie.com/content/the-wife-that-didnt-know-she-married-2024
Bed and Breakfast,English,No contiene subtitulos,2023,87,"Comedy, Drama","In the style of Neil Simon and the feel of ""The Big Chill,"" two washed-up B movie producers coerce a young, naïve screenwriter into helping them convince a ""money guy"" to invest in a picture based on the writer's script. The three hopefuls and their families' caravan up North to an enchanting bed and breakfast where they all anxiously await the arrival of the man with the money - the man who will supposedly make all their dreams come true. This compelling story is laced with fears, tears, laughs and insights; while delivering a surprise, yet very happy ending. Just the way Walt Disney would have liked it.",Pelicula,https://filmzie.com/content/bed-and-breakfast-2023
Juan and the Cloud,English,No contiene subtitulos,2014,15,"Animation, Comedy, Short, European Production","Juan, a friendless child, and La Nube, a cloud without cloud companions, form an unlikely bond. But as Juan matures, he becomes lost in the colorless realm of adulthood.",Pelicula,https://filmzie.com/content/juan-and-the-cloud
The People's Girls,Arabic,English (embedded),2016,27,Documentary,"Explore Egypt's sexual harassment crisis in The People's Girls documentary. Unveiling its roots and women's resistance, it sparks global discussions on women's rights violations.",Pelicula,https://filmzie.com/content/the-peoples-girls
Chained,German,English,2018,38,"Short, Drama","Shot up ruins are what's left of a once flourishing nation and now serve as hideouts for local guerrilla groups fighting the invasive army of the neighboring state. In this chaos, Ari fights for survival. In the ruins of an old skyscraper, her friend Cato and herself wait for the right time to flee into the safety of the neighboring state.",Pelicula,https://filmzie.com/content/chained-2018-0
Los Angeles Overnight,English,English,2018,92,"Crime, Drama, Thriller",A struggling actress inherits a bevy of colorful villains after desperation (with a touch of femme fatale) drives her and her gullible boyfriend to steal big from the Los Angeles underworld.,Pelicula,https://filmzie.com/content/los-angeles-overnight-2018
WiseGirls,English,English,2002,96,"Crime, Drama, Thriller, European Production",A new waitress in NYC gets caught in a mob-run underworld of drugs and murder while working at an Italian restaurant.,Pelicula,https://filmzie.com/content/wisegirls-2002
Broken Sunflower Hearts,English,No contiene subtitulos,2018,13,"Drama, Short","When his ex-boyfriend shows up on his door step a year after separating, Anthony weighs the impact it will have on his life and young daughter, Luna.",Pelicula,https://filmzie.com/content/broken-sunflower-hearts-2018
Southern Star,Spanish,English (embedded),2013,111,Drama,"A group of teenagers have to struggle against their social environment, looking for a better future and the chance to go to the sea.",Pelicula,https://filmzie.com/content/southern-star-2013
Searching For The Elephant,English,No contiene subtitulos,2024,116,"Drama, Western, Mystery","Drug addict Jason is forced into parole on an old ranch, where he unexpectedly meets his estranged veteran grandfather. Trapped together, both men wrestle through bitterness and personal struggles as enemies close in to collect an overdue debt.",Pelicula,https://filmzie.com/content/searching-for-the-elephant-2024
Self-Storage,English,English,2019,69,"Comedy, Drama, Horror","Dumped by his girlfriend, Conrad brings her mementos to his storage unit. There, he's trapped on the top floor, playing a deadly game with a knife-wielding killer. Twisted cat-and-mouse ensues.",Pelicula,https://filmzie.com/content/self-storage
Notes from the Wall,English,"English, Spanish, French, Dutch",2017,34,"Adventure, Documentary, Sport, European Production","19 days on a 1200-meter-high vertical wall—that's what it took for a trio of Belgian climbers (Sean Villanueva O'Driscoll, Nicolas Favresse and Siebe Vanhee) to complete the first free ascent of “El Regalo de Mwono” on Torres del Paine, Patagonia, although they had planned for a maximum of 15 days autonomy. Back home, the youngster of the team, Siebe Vanhee, asked filmmaker Guillaume Lion (director of “La Cour des Grands”) to edit the footage of their ascent. The film took the form of an expedition diary, through which the young climber questions himself about the importance of ego in a team performance.",Pelicula,https://filmzie.com/content/notes-from-the-wall-2017
Christmas Tears,English,English,2014,77,"Drama, Family, Fantasy","Experience the unforgettable journey of 3 best friends hitting rock bottom on Christmas Eve. A film of hope, faith, love, and family that will leave you teary-eyed and forever moved.",Pelicula,https://filmzie.com/content/christmas-tears-2014
Beyond Atlantis,English,No contiene subtitulos,1973,91,"Action, Adventure, Fantasy",A band of adventurers invade a native island determined to grab a reported fortune in buried treasure. The islanders are just as determined to keep their sacred treasure. Complications ensue.,Pelicula,https://filmzie.com/content/beyond-atlantis-1973
Low,English,No contiene subtitulos,2011,64,"Drama, Fantasy, Mystery, European Production","Alice, harboring a dark secret, is captured by troubled outsider Edward. Their enthralling journey unveils shocking truths and a twisted therapy that claims innocent lives.",Pelicula,https://filmzie.com/content/low
Angels Descend Together,Persian,English,2014,80,"Drama, Romance","A couple, on the verge of becoming clergy, navigate the trials of raising triplets. Their journey unfolds with faith, love, growth, and laughter.",Pelicula,https://filmzie.com/content/angels-descend-together-2014
Ouest,English,No contiene subtitulos,2020,29,"Short, Drama","Martin's impulsive road trip to escape depression takes an unexpected turn when he meets Marie, a spirited hitchhiker. As they journey west, their contrasting personalities become a source of solace and connection.",Pelicula,https://filmzie.com/content/ouest-2020
29 Alexander,English,English,2016,9,"Horror, Short",A life-altering dilemma unfolds as a man must decide between family and self-preservation.,Pelicula,https://filmzie.com/content/29-alexander
In Search Of,English,English,2020,69,Documentary,Young man embarks on a journey across America to find meaning after his brother's sudden death. Is there life after goodbye?,Pelicula,https://filmzie.com/content/in-search-of
Milltown Pride,English,English,2011,134,"Drama, Sport","Milltown Pride: A captivating evangelistic film, weaving nostalgia and timeless wisdom for modern audiences. Experience the charm of a bygone era, infused with poignant relevance.",Pelicula,https://filmzie.com/content/milltown-pride-2011
Who Is She?,Chinese,English (embedded),2020,45,"Drama, Short, European Production","Tech-obsessed Faye impresses classmate Jaye with AI facial replacement. Their prank reshapes their campus lives, bringing joy amidst technology fixation.",Pelicula,https://filmzie.com/content/who-is-she-2020
Black Coffin,Spanish,English,2022,75,Drama,"Bastian, famous rocker and leader of the Tucksons, is blocked from developing his new album due to the detoxification process he is undergoing. An unexpected accident happens while his manager pressures him to finish the album.",Pelicula,https://filmzie.com/content/black-coffin-2022
The Notorious Guys,French,English,2012,82,"Comedy, Romance, European Production","Join Steven, a special needs student, on an adventurous trip to Portugal in ""The Notorious Guys."" When they're mistaken for counterfeiters, Steven's friend Guy-Désiré steps up to save the day.",Pelicula,https://filmzie.com/content/the-notorious-guys
Witchmas,English,English,2020,70,Animation,"When Selma the Wicked Witch enlists an arrogant little elf named Grumper and his pet dragon Grus to transform Christmas into a whole new holiday known the world over as Witchmas, it sparks mayhem on the eve of the big day. Enter the ever-vigilant ELF Detective Agency - Jingle, Bingle, Tingle, Dorabelle and Cheer - to save the day in Witchmas.",Pelicula,https://filmzie.com/content/witchmas-2020
Jesus Christ Vampire Hunter,English,No contiene subtitulos,2001,84,"Action, Comedy, Horror","Prepare for an unconventional tale as Jesus Christ returns to Earth, battling vampires, mythological horrors, and addressing contemporary issues. This action-packed, humorous, and musical film defies expectations.",Pelicula,https://filmzie.com/content/jesus-christ-vampire-hunter-2001
Here on Earth,Spanish,English,2018,12,"Family, Short","At school, Sam, an alien boy, feels like an outsider in a classified society. A teacher helps him find his place in the world. A heartwarming tale of belonging.",Pelicula,https://filmzie.com/content/here-on-earth
Unlisted Owner,English,English,2013,83,"Drama, Horror, Thriller","After a family's murder, curious teens camp near the crime scene. Investigating the house, they become the next victims of an unknown killer. Horrifying 'Owner House' mystery.",Pelicula,https://filmzie.com/content/unlisted-owner-2013
The Ways of Man,Catalan,English,2014,66,"Drama, European Production","Witness a haunting tale as a repentant Judas Iscariot, burdened by guilt, encounters a enigmatic young man in the forest. Explore the last three days of redemption.",Pelicula,https://filmzie.com/content/the-ways-of-man-2014
Victor's Body,Portuguese,English (embedded),2020,14,"Documentary, Short","A baby is born, but does not cry. A body screams and is not heard. Paints that run in a promised future do not reach a person with a disability. Victor makes himself the canvas in a universe of absent painters.",Pelicula,https://filmzie.com/content/victors-body-2020
Black Brigade,English,English,1970,70,"Drama, War","In a challenging mission, a prejudiced officer leads a squad of black troops tasked with capturing a vital bridge from the Germans.",Pelicula,https://filmzie.com/content/black-brigade-1970
